German,English
ich,I
sie ,they
das ,the
ist ,is
du ,you
nicht ,Not
die ,the
es ,it
und ,and
der ,the
wir ,weather
was ,What
zu ,to
er ,he
ein ,on
in ,in
ja ,Yes
mir ,to me
mit ,with
wie ,how
den ,the
mich ,me
auf ,on
dass ,that
aber ,but
eine ,one
so ,so
hat ,Has
hier ,here
haben ,to have
für ,for
sind ,are
war ,was
von ,from
wenn ,if
dich ,you
ihr ,her
nein ,no
habe ,have
an ,on
bin ,am
noch ,still
nur ,only
da ,there
dir ,to you
sich ,yourself
einen ,a
uns ,US
hast ,have
dem ,to the
kann ,can
gut ,Good
auch ,also
schon ,nice
als ,as
sein ,being
mal ,just
jetzt ,now
ihn ,him
dann ,then
aus ,the end
meine ,my
um ,around
im ,in the
wird ,will
mein ,my
bist ,are you
doch ,indeed
alles ,everything
weiß ,White
keine ,no
oder ,or
nach ,to
s ,s
nichts ,Nothing
man ,you
muss ,got to
werden ,become
will ,want
ihnen ,them
geht ,goes
wo ,Where
etwas ,some
oh ,Oh
mehr ,more
bei ,at
also ,so
bitte ,You're welcome
immer ,always
hab ,have
warum ,why
vor ,in front
los ,Come on
können ,be able
wieder ,again
sagen ,say
machen ,make
danke ,Thank you
sehr ,very
alle ,Everyone
denn ,then
mann ,man
tun ,to do
ihm ,him
zum ,to the
gehen ,walk
sehen ,see
vielleicht ,perhaps
einem ,one
wer ,who
ihre ,her
diese ,this
euch ,to you
einer ,one
komm ,come over
über ,about
gibt ,are
okay ,OK
wissen ,to know
deine ,yours
müssen ,have to
soll ,target
werde ,become
nie ,never
wirklich ,really
hey ,hey
kein ,no
viel ,a lot of
weg ,path
würde ,would
tut ,does
am ,at the
des ,of
einfach ,simple
leben ,Life
hatte ,had
zeit ,Time
weil ,because
willst ,want
kommen ,come
dein ,your
heute ,today
kommt ,comes
wollen ,want
damit ,in order to
ganz ,quite
wäre ,would
wollte ,wanted to
weißt ,know
ok ,OK
sicher ,secure
gesagt ,said
frau ,woman
nun ,well
bis ,until
wurde ,became
leid ,suffering
na ,n / A
kannst ,can
macht ,power
dieser ,this
zurück ,return
lassen ,to let
hallo ,Hello
meinen ,say
gott ,God
seine ,his
hätte ,had
zwei ,two
könnte ,could
genau ,I agree
waren ,were
zur ,to the
lass ,let
klar ,clear
morgen ,tomorrow
leute ,people
vater ,father
schön ,beautiful
glaube ,believe
mr. ,mr.
ab ,away
gerade ,just
tag ,Day
gesehen ,seen
reden ,talk
wohl ,well
liebe ,love
sollte ,should
sagte ,said
unsere ,our
jemand ,someone
geld ,money
durch ,through
ob ,if
keinen ,no
mutter ,mother
raus ,Out
gemacht ,did
paar ,few
mach ,mach
passiert ,happens
dachte ,thought
besser ,better
musst ,must
wieso ,how come
sir ,sir
dieses ,this
selbst ,even
gehört ,heard
möchte ,would like
ohne ,without
hör ,hear
her ,here
sag ,say
meiner ,mine
anderen ,others
helfen ,help
nacht ,night
finden ,Find
diesen ,this
gute ,quality
wirst ,will
lange ,Long
natürlich ,Naturally
ach ,Oh
meinem ,my
gar ,even
ins ,into the
sei ,be
dort ,there
weiter ,further
geben ,give
seit ,since
gleich ,equal
sagt ,says
recht ,Law
ihren ,your
richtig ,correct
ordnung ,order
vom ,from the
hören ,Listen
sieht ,sees
davon ,from that
dafür ,Therefore
geh ,go
diesem ,this
wegen ,because of
hause ,home
sollten ,should
mädchen ,girl
hin ,there
sollen ,must
abend ,Eve
haus ,a house
denke ,think
viele ,lots
drei ,three
deinen ,your
freund ,friend
guten ,good
unser ,our
warte ,wait
machst ,doing
menschen ,People
essen ,meal
angst ,fear
bleiben ,stay
zusammen ,together
welt ,world
unter ,among
habt ,have
schnell ,quickly
andere ,other
tot ,dead
getan ,did
darf ,may
erst ,first
rein ,pure
stimmt ,Right
nehmen ,to take
kinder ,children
eines ,one
glauben ,believe
bringen ,bring
ganze ,whole
genug ,enough
scheiße ,crap
brauchen ,need
gegen ,against
moment ,moment
junge ,Boy
steht ,stands
sonst ,otherwise
musik ,music
arbeit ,work
seid ,are
ihrer ,of their
fragen ,ask
herr ,gentleman
dabei ,included
heißt ,called
familie ,family
warten ,wait
niemand ,nobody
sofort ,right away
bevor ,before
jahre ,years
einmal ,once
problem ,problem
sohn ,son
wann ,when
brauche ,need
fertig ,finished
halt ,stop
allein ,alone
beim ,at the
sprechen ,to speak
beide ,both
gefunden ,found
hatten ,had
sache ,Thing
hilfe ,Help
verdammt ,Damn
ne ,ne
jeder ,everyone
warst ,were
gern ,gladly
konnte ,could
darüber ,about it
halten ,keep
siehst ,see
verstehe ,understand
jahren ,years
kam ,came
kind ,child
wusste ,knew
wahr ,true
seinen ,his
dazu ,to
bruder ,brothers
daran ,to it
ihrem ,their
denken ,think
könnten ,could
dank ,thanks to
würden ,would
lieber ,Dear
fall ,case
deiner ,yours
sehe ,see
egal ,no matter
kennen ,know
deinem ,your
vergessen ,to forget
frage ,question
mache ,make
komme ,get
sage ,legend
mag ,like
sieh ,look
echt ,real
gib ,give
eigentlich ,actually
jeden ,every
dad ,dad
gab ,gave
uhr ,clock
stadt ,city
männer ,Men
baby ,infant
fahren ,ride
namen ,names
bekommen ,to get
kopf ,head
hi ,Hi
gehe ,go
kleine ,small
später ,later
glück ,happiness
letzte ,latest
freunde ,friends
n ,n
all ,Alles
darauf ,thereon
ende ,The End
dr. ,dr.
bald ,soon
töten ,kill
dinge ,things
meinst ,mean
toll ,Great
eins ,one
minuten ,minutes
vielen ,many
bereit ,ready
weit ,far
ahnung ,idea
seiner ,his
bisschen ,a little
tür ,door
auto ,automobile
jungs ,guys
eure ,your
augen ,eyes
polizei ,police
stehen ,to stand
sterben ,to die
hätten ,had
draußen ,outdoors
kenne ,know
fast ,nearly
runter ,down
vorbei ,past
treffen ,meet
gerne ,gladly
dran ,your turn
wurden ,became
arbeiten ,work
mom ,mom
verrückt ,crazy
neue ,new
ging ,went
hinter ,Behind
sorgen ,care for
einzige ,only
jemanden ,someone
darum ,therefore
tochter ,daughter
braucht ,needs
idee ,idea
schwester ,sister
drin ,in it
ruhig ,calm
sah ,saw
ganzen ,entire
spät ,late
ziemlich ,pretty much
solltest ,should
name ,Surname
sogar ,even
kurz ,shortly
kerl ,Guy
frauen ,women
liegt ,lies
suchen ,Looking for
finde ,find
je ,ever
woher ,where from
lang ,long
job ,job
keiner ,none
seinem ,his
hört ,hears
verstehen ,to understand
spielen ,to play
s. ,s.
überhaupt ,at all
teufel ,Devil
verstanden ,Understood
verloren ,lost
große ,size
hand ,hand
grund ,reason
jahr ,year
kommst ,coming
mama ,mummy
ruhe ,Quiet
gewesen ,been
tod ,death
stunden ,hours
hoffe ,hope
denkst ,think
oben ,above
gestern ,yesterday
versuchen ,attempt
art ,kind
letzten ,last
schatz ,Darling
endlich ,Finally
he ,hey
nimm ,take
etwa ,approximately
erzählt ,told
läuft ,runs
schwer ,heavy
anders ,different
miss ,ill
musste ,had to
fünf ,five
wasser ,water
lässt ,leaves
erste ,first
versucht ,tried
gekommen ,came
geschichte ,story
wenig ,little
holen ,fetch
bedeutet ,means
nett ,kind
wahrheit ,truth
woche ,week
bringt ,brings
deshalb ,for this reason
welche ,Which
bestimmt ,definitely
hoch ,high
alter ,old
sagst ,say
schau ,look
ah ,Ah
land ,country
zimmer ,room
wagen ,dare
vier ,four
gefallen ,please
spaß ,fun
niemals ,No way
schuld ,fault
getötet ,killed
wollten ,wanted to
verlassen ,leaving
zeigen ,show
beste ,best
ernst ,serious
unserer ,our
denen ,to those
ort ,location
bleibt ,remain
würdest ,would
manchmal ,sometimes
glaubst ,think
seite ,side
lasst ,leaves
zwischen ,in between
eben ,even
während ,while
spiel ,game
nehme ,take
ersten ,first
guter ,goods
chance ,chance
freundin ,girlfriend
krieg ,war
gefällt ,like
kleinen ,small
erzählen ,tell
anderes ,other
tage ,days
entschuldigen ,apologize
wichtig ,important
gehst ,going
allen ,all
bett ,bed
mrs. ,mrs.
sachen ,stuff
the ,the
schlecht ,bad
schule ,school
entschuldigung ,Sorry
wort ,word
john ,John
hättest ,had
wären ,would
typ ,Type
schlafen ,sleep
äh ,Ah
tu ,tu
euer ,your
captain ,captain
gesicht ,face
falls ,if
neuen ,new
bloß ,just
unten ,below
teil ,part
beiden ,both
mensch ,person
kleiner ,smaller
stellen ,put
oft ,often
sorge ,worries
gedacht ,thought
tust ,do
trinken ,drink
einige ,some
dies ,this
ding ,thing
unseren ,our
kriegen ,get
blut ,blood
ehrlich ,Honestly
eltern ,parents
scheint ,seems
herz ,heart
jack ,Jack
glücklich ,happy
alte ,old
alt ,old
bleib ,permanent
wiedersehen ,meet again
frei ,free
wen ,whom
drauf ,on it
möglich ,possible
irgendwie ,somehow
reicht ,enough
fest ,fixed
besten ,best
waffe ,weapon
kaum ,hardly
irgendwas ,anything
